wavelength(nm),aw,bbw
400,0.0034,0.003318836
401,0.00336,0.003283394
402,0.00332,0.003248417
403,0.00328,0.003213898
404,0.00324,0.00317983
405,0.0032,0.003146206
406,0.00318,0.00311302
407,0.00316,0.003080263
408,0.00314,0.003047931
409,0.00312,0.003016016
410,0.0031,0.002984511
411,0.0031,0.002953412
412,0.0031,0.00292271
413,0.0031,0.002892402
414,0.0031,0.002862479
415,0.0031,0.002832937
416,0.00312,0.002803771
417,0.00314,0.002774973
418,0.00316,0.002746539
419,0.00318,0.002718463
420,0.0032,0.002690741
421,0.00322,0.002663366
422,0.00324,0.002636333
423,0.00326,0.002609638
424,0.00328,0.002583275
425,0.0033,0.00255724
426,0.00336,0.002531527
427,0.00342,0.002506132
428,0.00348,0.00248105
429,0.00354,0.002456278
430,0.0036,0.002431809
431,0.00364,0.00240764
432,0.00368,0.002383766
433,0.00372,0.002360184
434,0.00376,0.002336888
435,0.0038,0.002313876
436,0.00392,0.002291141
437,0.00404,0.002268682
438,0.00416,0.002246493
439,0.00428,0.002224571
440,0.0044,0.002202913
441,0.0046,0.002181513
442,0.0048,0.00216037
443,0.005,0.002139478
444,0.0052,0.002118834
445,0.0054,0.002098436
446,0.00568,0.002078279
447,0.00596,0.002058361
448,0.00624,0.002038677
449,0.00652,0.002019224
450,0.0068,0.002
451,0.0069,0.001981001
452,0.007,0.001962224
453,0.0071,0.001943666
454,0.0072,0.001925323
455,0.0073,0.001907194
456,0.00736,0.001889274
457,0.00742,0.001871562
458,0.00748,0.001854053
459,0.00754,0.001836747
460,0.0076,0.001819639
461,0.0077,0.001802726
462,0.0078,0.001786008
463,0.0079,0.00176948
464,0.008,0.00175314
465,0.0081,0.001736985
466,0.00826,0.001721014
467,0.00842,0.001705223
468,0.00858,0.001689611
469,0.00874,0.001674174
470,0.0089,0.001658911
471,0.0091,0.001643819
472,0.0093,0.001628895
473,0.0095,0.001614139
474,0.0097,0.001599547
475,0.0099,0.001585117
476,0.0101,0.001570847
477,0.0103,0.001556735
478,0.0105,0.001542779
479,0.0107,0.001528978
480,0.0109,0.001515327
481,0.01108,0.001501827
482,0.01126,0.001488475
483,0.01144,0.001475269
484,0.01162,0.001462207
485,0.0118,0.001449287
486,0.01208,0.001436507
487,0.01236,0.001423866
488,0.01264,0.001411362
489,0.01292,0.001398994
490,0.0132,0.001386758
491,0.01364,0.001374654
492,0.01408,0.00136268
493,0.01452,0.001350834
494,0.01496,0.001339115
495,0.0154,0.001327521
496,0.01606,0.001316051
497,0.01672,0.001304702
498,0.01738,0.001293474
499,0.01804,0.001282364
500,0.0187,0.001271372
501,0.01956,0.001260496
502,0.02042,0.001249735
503,0.02128,0.001239086
504,0.02214,0.001228549
505,0.023,0.001218122
506,0.02444,0.001207804
507,0.02588,0.001197594
